TIME_TO_INTERVAL,Year,Month,Date,Weekday,Day,Hour,minute,power,dayofweek,isholiday,Temperature,RH,WS,pre_power_15,pre_power_30,pre_power_45,feel_temp
2022/1/26 00:15,2022,1,2022/1/26 00:00,3,26,0,15,19.891,2,0,19.2,89,1.1,17.282,20.152,17.291,21.07952594
2022/1/26 00:30,2022,1,2022/1/26 00:00,3,26,0,30,18.112,2,0,19.2,89,1.1,19.891,17.282,20.152,21.07952594
2022/1/26 00:45,2022,1,2022/1/26 00:00,3,26,0,45,20.101,2,0,19.2,89,1.1,18.112,19.891,17.282,21.07952594
2022/1/26 00:59,2022,1,2022/1/26 00:00,3,26,0,59,17.178,2,0,19.2,89,1.1,20.101,18.112,19.891,21.07952594
2022/1/26 01:15,2022,1,2022/1/26 00:00,3,26,1,15,20.063,2,0,17.8,91,2,17.178,20.101,18.112,18.74667085
2022/1/26 01:30,2022,1,2022/1/26 00:00,3,26,1,30,17.043,2,0,17.8,91,2,20.063,17.178,20.101,18.74667085
2022/1/26 01:45,2022,1,2022/1/26 00:00,3,26,1,45,17.203,2,0,17.8,91,2,17.043,20.063,17.178,18.74667085
2022/1/26 01:59,2022,1,2022/1/26 00:00,3,26,1,59,17.895,2,0,17.8,91,2,17.203,17.043,20.063,18.74667085
2022/1/26 02:15,2022,1,2022/1/26 00:00,3,26,2,15,19.826,2,0,17.6,91,0.3,17.895,17.203,17.043,19.59138375
2022/1/26 02:30,2022,1,2022/1/26 00:00,3,26,2,30,15.337,2,0,17.6,91,0.3,19.826,17.895,17.203,19.59138375
2022/1/26 02:45,2022,1,2022/1/26 00:00,3,26,2,45,16.625,2,0,17.6,91,0.3,15.337,19.826,17.895,19.59138375
2022/1/26 02:59,2022,1,2022/1/26 00:00,3,26,2,59,16.557,2,0,17.6,91,0.3,16.625,15.337,19.826,19.59138375
2022/1/26 03:15,2022,1,2022/1/26 00:00,3,26,3,15,15.91,2,0,17.2,94,0.1,16.557,16.625,15.337,19.31980036
2022/1/26 03:30,2022,1,2022/1/26 00:00,3,26,3,30,13.185,2,0,17.2,94,0.1,15.91,16.557,16.625,19.31980036
2022/1/26 03:45,2022,1,2022/1/26 00:00,3,26,3,45,15.425,2,0,17.2,94,0.1,13.185,15.91,16.557,19.31980036
2022/1/26 03:59,2022,1,2022/1/26 00:00,3,26,3,59,12.61,2,0,17.2,94,0.1,15.425,13.185,15.91,19.31980036
2022/1/26 04:15,2022,1,2022/1/26 00:00,3,26,4,15,15.627,2,0,17.2,94,0.3,12.61,15.425,13.185,19.18980036
2022/1/26 04:30,2022,1,2022/1/26 00:00,3,26,4,30,16.639,2,0,17.2,94,0.3,15.627,12.61,15.425,19.18980036
2022/1/26 04:45,2022,1,2022/1/26 00:00,3,26,4,45,14.79,2,0,17.2,94,0.3,16.639,15.627,12.61,19.18980036
2022/1/26 04:59,2022,1,2022/1/26 00:00,3,26,4,59,14.281,2,0,17.2,94,0.3,14.79,16.639,15.627,19.18980036
2022/1/26 05:15,2022,1,2022/1/26 00:00,3,26,5,15,14.09,2,0,17.9,91,1.1,14.281,14.79,16.639,19.46200629
2022/1/26 05:30,2022,1,2022/1/26 00:00,3,26,5,30,15.885,2,0,17.9,91,1.1,14.09,14.281,14.79,19.46200629
2022/1/26 05:45,2022,1,2022/1/26 00:00,3,26,5,45,13.711,2,0,17.9,91,1.1,15.885,14.09,14.281,19.46200629
