TIME_TO_INTERVAL,Year,Month,Date,Weekday,Day,Hour,minute,power,dayofweek,isholiday,Temperature,RH,WS,pre_power_15,pre_power_30,pre_power_45,feel_temp
2022/1/5 00:15,2022,1,2022/1/5 00:00,3,5,0,15,12.32,2,0,19.3,74,0.8,5.52,6.32,6.4,20.73619365
2022/1/5 00:30,2022,1,2022/1/5 00:00,3,5,0,30,8.24,2,0,19.3,74,0.8,12.32,5.52,6.32,20.73619365
2022/1/5 00:45,2022,1,2022/1/5 00:00,3,5,0,45,7.44,2,0,19.3,74,0.8,8.24,12.32,5.52,20.73619365
2022/1/5 00:59,2022,1,2022/1/5 00:00,3,5,0,59,12.24,2,0,19.3,74,0.8,7.44,8.24,12.32,20.73619365
2022/1/5 01:15,2022,1,2022/1/5 00:00,3,5,1,15,5.84,2,0,16.8,93,0.4,12.24,7.44,8.24,18.56662299
2022/1/5 01:30,2022,1,2022/1/5 00:00,3,5,1,30,6.32,2,0,16.8,93,0.4,5.84,12.24,7.44,18.56662299
2022/1/5 01:45,2022,1,2022/1/5 00:00,3,5,1,45,6.32,2,0,16.8,93,0.4,6.32,5.84,12.24,18.56662299
2022/1/5 01:59,2022,1,2022/1/5 00:00,3,5,1,59,5.52,2,0,16.8,93,0.4,6.32,6.32,5.84,18.56662299
2022/1/5 02:15,2022,1,2022/1/5 00:00,3,5,2,15,8.08,2,0,16.9,93,0.6,5.52,6.32,6.32,18.56618908
2022/1/5 02:30,2022,1,2022/1/5 00:00,3,5,2,30,11.68,2,0,16.9,93,0.6,8.08,5.52,6.32,18.56618908
2022/1/5 02:45,2022,1,2022/1/5 00:00,3,5,2,45,8.48,2,0,16.9,93,0.6,11.68,8.08,5.52,18.56618908
2022/1/5 02:59,2022,1,2022/1/5 00:00,3,5,2,59,8.24,2,0,16.9,93,0.6,8.48,11.68,8.08,18.56618908
2022/1/5 03:15,2022,1,2022/1/5 00:00,3,5,3,15,11.76,2,0,16.3,94,0.2,8.24,8.48,11.68,18.08764047
2022/1/5 03:30,2022,1,2022/1/5 00:00,3,5,3,30,6.8,2,0,16.3,94,0.2,11.76,8.24,8.48,18.08764047
2022/1/5 03:45,2022,1,2022/1/5 00:00,3,5,3,45,6.32,2,0,16.3,94,0.2,6.8,11.76,8.24,18.08764047
2022/1/5 03:59,2022,1,2022/1/5 00:00,3,5,3,59,5.6,2,0,16.3,94,0.2,6.32,6.8,11.76,18.08764047
2022/1/5 04:15,2022,1,2022/1/5 00:00,3,5,4,15,6.32,2,0,17.3,90,0.6,5.6,6.32,6.8,18.96749808
2022/1/5 04:30,2022,1,2022/1/5 00:00,3,5,4,30,5.52,2,0,17.3,90,0.6,6.32,5.6,6.32,18.96749808
2022/1/5 04:45,2022,1,2022/1/5 00:00,3,5,4,45,10.56,2,0,17.3,90,0.6,5.52,6.32,5.6,18.96749808
2022/1/5 04:59,2022,1,2022/1/5 00:00,3,5,4,59,6.16,2,0,17.3,90,0.6,10.56,5.52,6.32,18.96749808
2022/1/5 05:15,2022,1,2022/1/5 00:00,3,5,5,15,6.96,2,0,16.9,91,0.5,6.16,10.56,5.52,18.5543463
2022/1/5 05:30,2022,1,2022/1/5 00:00,3,5,5,30,7.76,2,0,16.9,91,0.5,6.96,6.16,10.56,18.5543463
