TIME_TO_INTERVAL,Year,Month,Date,Weekday,Day,Hour,minute,power,dayofweek,isholiday,Temperature,RH,WS,pre_power_15,pre_power_30,pre_power_45,feel_temp
2022/1/5 00:15,2022,1,2022/1/5 00:00,3,5,0,15,48.5,2,0,19.3,74,0.8,47.66,49.34,49.68,20.73619365
2022/1/5 00:30,2022,1,2022/1/5 00:00,3,5,0,30,44.18,2,0,19.3,74,0.8,48.5,47.66,49.34,20.73619365
2022/1/5 00:45,2022,1,2022/1/5 00:00,3,5,0,45,47.74,2,0,19.3,74,0.8,44.18,48.5,47.66,20.73619365
2022/1/5 00:59,2022,1,2022/1/5 00:00,3,5,0,59,50.3,2,0,19.3,74,0.8,47.74,44.18,48.5,20.73619365
2022/1/5 01:15,2022,1,2022/1/5 00:00,3,5,1,15,37.9,2,0,16.8,93,0.4,50.3,47.74,44.18,18.56662299
2022/1/5 01:30,2022,1,2022/1/5 00:00,3,5,1,30,31.58,2,0,16.8,93,0.4,37.9,50.3,47.74,18.56662299
2022/1/5 01:45,2022,1,2022/1/5 00:00,3,5,1,45,31.2,2,0,16.8,93,0.4,31.58,37.9,50.3,18.56662299
2022/1/5 01:59,2022,1,2022/1/5 00:00,3,5,1,59,27.48,2,0,16.8,93,0.4,31.2,31.58,37.9,18.56662299
2022/1/5 02:15,2022,1,2022/1/5 00:00,3,5,2,15,29.94,2,0,16.9,93,0.6,27.48,31.2,31.58,18.56618908
2022/1/5 02:30,2022,1,2022/1/5 00:00,3,5,2,30,27.3,2,0,16.9,93,0.6,29.94,27.48,31.2,18.56618908
2022/1/5 02:45,2022,1,2022/1/5 00:00,3,5,2,45,26.88,2,0,16.9,93,0.6,27.3,29.94,27.48,18.56618908
2022/1/5 02:59,2022,1,2022/1/5 00:00,3,5,2,59,22.72,2,0,16.9,93,0.6,26.88,27.3,29.94,18.56618908
2022/1/5 03:15,2022,1,2022/1/5 00:00,3,5,3,15,25.06,2,0,16.3,94,0.2,22.72,26.88,27.3,18.08764047
2022/1/5 03:30,2022,1,2022/1/5 00:00,3,5,3,30,27.9,2,0,16.3,94,0.2,25.06,22.72,26.88,18.08764047
2022/1/5 03:45,2022,1,2022/1/5 00:00,3,5,3,45,23.04,2,0,16.3,94,0.2,27.9,25.06,22.72,18.08764047
2022/1/5 03:59,2022,1,2022/1/5 00:00,3,5,3,59,24.22,2,0,16.3,94,0.2,23.04,27.9,25.06,18.08764047
2022/1/5 04:15,2022,1,2022/1/5 00:00,3,5,4,15,25.52,2,0,17.3,90,0.6,24.22,23.04,27.9,18.96749808
2022/1/5 04:30,2022,1,2022/1/5 00:00,3,5,4,30,23.86,2,0,17.3,90,0.6,25.52,24.22,23.04,18.96749808
2022/1/5 04:45,2022,1,2022/1/5 00:00,3,5,4,45,22.98,2,0,17.3,90,0.6,23.86,25.52,24.22,18.96749808
2022/1/5 04:59,2022,1,2022/1/5 00:00,3,5,4,59,21.36,2,0,17.3,90,0.6,22.98,23.86,25.52,18.96749808
2022/1/5 05:15,2022,1,2022/1/5 00:00,3,5,5,15,21.74,2,0,16.9,91,0.5,21.36,22.98,23.86,18.5543463
2022/1/5 05:30,2022,1,2022/1/5 00:00,3,5,5,30,20.38,2,0,16.9,91,0.5,21.74,21.36,22.98,18.5543463
2022/1/5 05:45,2022,1,2022/1/5 00:00,3,5,5,45,20.32,2,0,16.9,91,0.5,20.38,21.74,21.36,18.5543463
2022/1/5 05:59,2022,1,2022/1/5 00:00,3,5,5,59,21.02,2,0,16.9,91,0.5,20.32,20.38,21.74,18.5543463
2022/1/5 06:15,2022,1,2022/1/5 00:00,3,5,6,15,22.34,2,0,16.4,91,0.2,21.02,20.32,20.38,18.10515911
2022/1/5 06:30,2022,1,2022/1/5 00:00,3,5,6,30,20.54,2,0,16.4,91,0.2,22.34,21.02,20.32,18.10515911
2022/1/5 06:45,2022,1,2022/1/5 00:00,3,5,6,45,21.04,2,0,16.4,91,0.2,20.54,22.34,21.02,18.10515911
2022/1/5 06:59,2022,1,2022/1/5 00:00,3,5,6,59,19.96,2,0,16.4,91,0.2,21.04,20.54,22.34,18.10515911
2022/1/5 07:15,2022,1,2022/1/5 00:00,3,5,7,15,25.4,2,0,16.1,92,0.4,19.96,21.04,20.54,17.62660847
2022/1/5 07:30,2022,1,2022/1/5 00:00,3,5,7,30,26.3,2,0,16.1,92,0.4,25.4,19.96,21.04,17.62660847
2022/1/5 07:45,2022,1,2022/1/5 00:00,3,5,7,45,24.14,2,0,16.1,92,0.4,26.3,25.4,19.96,17.62660847
2022/1/5 07:59,2022,1,2022/1/5 00:00,3,5,7,59,25.12,2,0,16.1,92,0.4,24.14,26.3,25.4,17.62660847
2022/1/5 08:15,2022,1,2022/1/5 00:00,3,5,8,15,29.74,2,0,17.4,86,0.2,25.12,24.14,26.3,19.19832941
2022/1/5 08:30,2022,1,2022/1/5 00:00,3,5,8,30,31.78,2,0,17.4,86,0.2,29.74,25.12,24.14,19.19832941
2022/1/5 08:45,2022,1,2022/1/5 00:00,3,5,8,45,32.14,2,0,17.4,86,0.2,31.78,29.74,25.12,19.19832941
2022/1/5 08:59,2022,1,2022/1/5 00:00,3,5,8,59,30.32,2,0,17.4,86,0.2,32.14,31.78,29.74,19.19832941
2022/1/5 09:15,2022,1,2022/1/5 00:00,3,5,9,15,33.46,2,0,18.5,81,0.4,30.32,32.14,31.78,20.27682635
2022/1/5 09:30,2022,1,2022/1/5 00:00,3,5,9,30,28.48,2,0,18.5,81,0.4,33.46,30.32,32.14,20.27682635
2022/1/5 09:45,2022,1,2022/1/5 00:00,3,5,9,45,30.18,2,0,18.5,81,0.4,28.48,33.46,30.32,20.27682635
2022/1/5 09:59,2022,1,2022/1/5 00:00,3,5,9,59,27.6,2,0,18.5,81,0.4,30.18,28.48,33.46,20.27682635
2022/1/5 10:15,2022,1,2022/1/5 00:00,3,5,10,15,32.92,2,0,20.1,73,0.9,27.6,30.18,28.48,21.64821699
2022/1/5 10:30,2022,1,2022/1/5 00:00,3,5,10,30,29.46,2,0,20.1,73,0.9,32.92,27.6,30.18,21.64821699
2022/1/5 10:45,2022,1,2022/1/5 00:00,3,5,10,45,31.78,2,0,20.1,73,0.9,29.46,32.92,27.6,21.64821699
2022/1/5 10:59,2022,1,2022/1/5 00:00,3,5,10,59,33.7,2,0,20.1,73,0.9,31.78,29.46,32.92,21.64821699
2022/1/5 11:15,2022,1,2022/1/5 00:00,3,5,11,15,31.8,2,0,21.2,70,1.2,33.7,31.78,29.46,22.71937932
2022/1/5 11:30,2022,1,2022/1/5 00:00,3,5,11,30,32.3,2,0,21.2,70,1.2,31.8,33.7,31.78,22.71937932
2022/1/5 11:45,2022,1,2022/1/5 00:00,3,5,11,45,31.96,2,0,21.2,70,1.2,32.3,31.8,33.7,22.71937932
2022/1/5 11:59,2022,1,2022/1/5 00:00,3,5,11,59,34.84,2,0,21.2,70,1.2,31.96,32.3,31.8,22.71937932
2022/1/5 12:15,2022,1,2022/1/5 00:00,3,5,12,15,41.36,2,0,21.2,76,1.3,34.84,31.96,32.3,22.95569755
2022/1/5 12:30,2022,1,2022/1/5 00:00,3,5,12,30,44.9,2,0,21.2,76,1.3,41.36,34.84,31.96,22.95569755
2022/1/5 12:45,2022,1,2022/1/5 00:00,3,5,12,45,38.08,2,0,21.2,76,1.3,44.9,41.36,34.84,22.95569755
2022/1/5 12:59,2022,1,2022/1/5 00:00,3,5,12,59,38.48,2,0,21.2,76,1.3,38.08,44.9,41.36,22.95569755
2022/1/5 13:15,2022,1,2022/1/5 00:00,3,5,13,15,38.38,2,0,21.9,76,0.9,38.48,38.08,44.9,24.13141754
2022/1/5 13:30,2022,1,2022/1/5 00:00,3,5,13,30,36.34,2,0,21.9,76,0.9,38.38,38.48,38.08,24.13141754
2022/1/5 13:45,2022,1,2022/1/5 00:00,3,5,13,45,33.48,2,0,21.9,76,0.9,36.34,38.38,38.48,24.13141754
2022/1/5 13:59,2022,1,2022/1/5 00:00,3,5,13,59,35.38,2,0,21.9,76,0.9,33.48,36.34,38.38,24.13141754
2022/1/5 14:15,2022,1,2022/1/5 00:00,3,5,14,15,36.04,2,0,22.8,70,1,35.38,33.48,36.34,24.92095713
2022/1/5 14:30,2022,1,2022/1/5 00:00,3,5,14,30,30.24,2,0,22.8,70,1,36.04,35.38,33.48,24.92095713
2022/1/5 14:45,2022,1,2022/1/5 00:00,3,5,14,45,28.86,2,0,22.8,70,1,30.24,36.04,35.38,24.92095713
2022/1/5 14:59,2022,1,2022/1/5 00:00,3,5,14,59,26.02,2,0,22.8,70,1,28.86,30.24,36.04,24.92095713
2022/1/5 15:15,2022,1,2022/1/5 00:00,3,5,15,15,33.14,2,0,22.1,73,1.8,26.02,28.86,30.24,23.65003916
2022/1/5 15:30,2022,1,2022/1/5 00:00,3,5,15,30,34.94,2,0,22.1,73,1.8,33.14,26.02,28.86,23.65003916
2022/1/5 15:45,2022,1,2022/1/5 00:00,3,5,15,45,35,2,0,22.1,73,1.8,34.94,33.14,26.02,23.65003916
2022/1/5 15:59,2022,1,2022/1/5 00:00,3,5,15,59,29.74,2,0,22.1,73,1.8,35,34.94,33.14,23.65003916
2022/1/5 16:15,2022,1,2022/1/5 00:00,3,5,16,15,35.98,2,0,21.2,75,2.8,29.74,35,34.94,21.93047784
2022/1/5 16:30,2022,1,2022/1/5 00:00,3,5,16,30,40.8,2,0,21.2,75,2.8,35.98,29.74,35,21.93047784
2022/1/5 16:45,2022,1,2022/1/5 00:00,3,5,16,45,39.54,2,0,21.2,75,2.8,40.8,35.98,29.74,21.93047784
2022/1/5 16:59,2022,1,2022/1/5 00:00,3,5,16,59,39.92,2,0,21.2,75,2.8,39.54,40.8,35.98,21.93047784
2022/1/5 17:15,2022,1,2022/1/5 00:00,3,5,17,15,45.5,2,0,21.1,75,1.9,39.92,39.54,40.8,22.38547238
2022/1/5 17:30,2022,1,2022/1/5 00:00,3,5,17,30,47.62,2,0,21.1,75,1.9,45.5,39.92,39.54,22.38547238
2022/1/5 17:45,2022,1,2022/1/5 00:00,3,5,17,45,49.2,2,0,21.1,75,1.9,47.62,45.5,39.92,22.38547238
2022/1/5 17:59,2022,1,2022/1/5 00:00,3,5,17,59,43.44,2,0,21.1,75,1.9,49.2,47.62,45.5,22.38547238
2022/1/5 18:15,2022,1,2022/1/5 00:00,3,5,18,15,46.54,2,0,19.9,80,2.2,43.44,49.2,47.62,20.87162416
2022/1/5 18:30,2022,1,2022/1/5 00:00,3,5,18,30,46.08,2,0,19.9,80,2.2,46.54,43.44,49.2,20.87162416
2022/1/5 18:45,2022,1,2022/1/5 00:00,3,5,18,45,43.1,2,0,19.9,80,2.2,46.08,46.54,43.44,20.87162416
2022/1/5 18:59,2022,1,2022/1/5 00:00,3,5,18,59,43.14,2,0,19.9,80,2.2,43.1,46.08,46.54,20.87162416
2022/1/5 19:15,2022,1,2022/1/5 00:00,3,5,19,15,56.94,2,0,20,76,2.2,43.14,43.1,46.08,20.81504746
2022/1/5 19:30,2022,1,2022/1/5 00:00,3,5,19,30,54.66,2,0,20,76,2.2,56.94,43.14,43.1,20.81504746
2022/1/5 19:45,2022,1,2022/1/5 00:00,3,5,19,45,57.06,2,0,20,76,2.2,54.66,56.94,43.14,20.81504746
2022/1/5 19:59,2022,1,2022/1/5 00:00,3,5,19,59,48.68,2,0,20,76,2.2,57.06,54.66,56.94,20.81504746
2022/1/5 20:15,2022,1,2022/1/5 00:00,3,5,20,15,51.64,2,0,20.6,69,2,48.68,57.06,54.66,21.38185522
2022/1/5 20:30,2022,1,2022/1/5 00:00,3,5,20,30,47.4,2,0,20.6,69,2,51.64,48.68,57.06,21.38185522
2022/1/5 20:45,2022,1,2022/1/5 00:00,3,5,20,45,45.34,2,0,20.6,69,2,47.4,51.64,48.68,21.38185522
2022/1/5 20:59,2022,1,2022/1/5 00:00,3,5,20,59,44.42,2,0,20.6,69,2,45.34,47.4,51.64,21.38185522
2022/1/5 21:15,2022,1,2022/1/5 00:00,3,5,21,15,50.76,2,0,20.8,65,1.5,44.42,45.34,47.4,21.76616566
2022/1/5 21:30,2022,1,2022/1/5 00:00,3,5,21,30,49.4,2,0,20.8,65,1.5,50.76,44.42,45.34,21.76616566
2022/1/5 21:45,2022,1,2022/1/5 00:00,3,5,21,45,48,2,0,20.8,65,1.5,49.4,50.76,44.42,21.76616566
2022/1/5 21:59,2022,1,2022/1/5 00:00,3,5,21,59,46.48,2,0,20.8,65,1.5,48,49.4,50.76,21.76616566
2022/1/5 22:15,2022,1,2022/1/5 00:00,3,5,22,15,47.86,2,0,21,63,1.5,46.48,48,49.4,21.92029545
2022/1/5 22:30,2022,1,2022/1/5 00:00,3,5,22,30,46.54,2,0,21,63,1.5,47.86,46.48,48,21.92029545
2022/1/5 22:45,2022,1,2022/1/5 00:00,3,5,22,45,47.8,2,0,21,63,1.5,46.54,47.86,46.48,21.92029545
2022/1/5 22:59,2022,1,2022/1/5 00:00,3,5,22,59,49.58,2,0,21,63,1.5,47.8,46.54,47.86,21.92029545
2022/1/5 23:15,2022,1,2022/1/5 00:00,3,5,23,15,53.02,2,0,20.6,63,2,49.58,47.8,46.54,21.09143303
2022/1/5 23:30,2022,1,2022/1/5 00:00,3,5,23,30,49.4,2,0,20.6,63,2,53.02,49.58,47.8,21.09143303
2022/1/5 23:45,2022,1,2022/1/5 00:00,3,5,23,45,51.56,2,0,20.6,63,2,49.4,53.02,49.58,21.09143303
2022/1/5 23:59,2022,1,2022/1/5 00:00,3,5,23,59,46.64,2,0,20.6,63,2,51.56,49.4,53.02,21.09143303
2022/1/6 00:15,2022,1,2022/1/6 00:00,4,6,0,15,51.96,3,0,15,93,0.9,46.64,51.56,49.4,15.93023757
2022/1/6 00:30,2022,1,2022/1/6 00:00,4,6,0,30,47.9,3,0,15,93,0.9,51.96,46.64,51.56,15.93023757
2022/1/6 00:45,2022,1,2022/1/6 00:00,4,6,0,45,47.64,3,0,15,93,0.9,47.9,51.96,46.64,15.93023757
2022/1/6 00:59,2022,1,2022/1/6 00:00,4,6,0,59,41.2,3,0,15,93,0.9,47.64,47.9,51.96,15.93023757
2022/1/6 01:15,2022,1,2022/1/6 00:00,4,6,1,15,38,3,0,18.1,81,0.4,41.2,47.64,47.9,19.7636613
2022/1/6 01:30,2022,1,2022/1/6 00:00,4,6,1,30,36.74,3,0,18.1,81,0.4,38,41.2,47.64,19.7636613
2022/1/6 01:45,2022,1,2022/1/6 00:00,4,6,1,45,30.34,3,0,18.1,81,0.4,36.74,38,41.2,19.7636613
2022/1/6 01:59,2022,1,2022/1/6 00:00,4,6,1,59,28.5,3,0,18.1,81,0.4,30.34,36.74,38,19.7636613
2022/1/6 02:15,2022,1,2022/1/6 00:00,4,6,2,15,28.82,3,0,18.7,76,0.9,28.5,30.34,36.74,19.99398315
2022/1/6 02:30,2022,1,2022/1/6 00:00,4,6,2,30,27.28,3,0,18.7,76,0.9,28.82,28.5,30.34,19.99398315
2022/1/6 02:45,2022,1,2022/1/6 00:00,4,6,2,45,29.26,3,0,18.7,76,0.9,27.28,28.82,28.5,19.99398315
2022/1/6 02:59,2022,1,2022/1/6 00:00,4,6,2,59,28.12,3,0,18.7,76,0.9,29.26,27.28,28.82,19.99398315
