TIME_TO_INTERVAL,Year,Month,Date,Weekday,Day,Hour,minute,power,dayofweek,isholiday,Temperature,RH,WS,pre_power_15,pre_power_30,pre_power_45,feel_temp
2022/1/5 00:15,2022,1,2022/1/5 00:00,3,5,0,15,105.31,2,0,19.3,74,0.8,92.67,104.43,92.49,20.73619365
2022/1/5 00:30,2022,1,2022/1/5 00:00,3,5,0,30,93,2,0,19.3,74,0.8,105.31,92.67,104.43,20.73619365
2022/1/5 00:45,2022,1,2022/1/5 00:00,3,5,0,45,93.13,2,0,19.3,74,0.8,93,105.31,92.67,20.73619365
2022/1/5 00:59,2022,1,2022/1/5 00:00,3,5,0,59,92.73,2,0,19.3,74,0.8,93.13,93,105.31,20.73619365
2022/1/5 01:15,2022,1,2022/1/5 00:00,3,5,1,15,89.38,2,0,16.8,93,0.4,92.73,93.13,93,18.56662299
2022/1/5 01:30,2022,1,2022/1/5 00:00,3,5,1,30,84.26,2,0,16.8,93,0.4,89.38,92.73,93.13,18.56662299
2022/1/5 01:45,2022,1,2022/1/5 00:00,3,5,1,45,75.9,2,0,16.8,93,0.4,84.26,89.38,92.73,18.56662299
2022/1/5 01:59,2022,1,2022/1/5 00:00,3,5,1,59,71.14,2,0,16.8,93,0.4,75.9,84.26,89.38,18.56662299
2022/1/5 02:15,2022,1,2022/1/5 00:00,3,5,2,15,85.55,2,0,16.9,93,0.6,71.14,75.9,84.26,18.56618908
2022/1/5 02:30,2022,1,2022/1/5 00:00,3,5,2,30,75.73,2,0,16.9,93,0.6,85.55,71.14,75.9,18.56618908
2022/1/5 02:45,2022,1,2022/1/5 00:00,3,5,2,45,71.69,2,0,16.9,93,0.6,75.73,85.55,71.14,18.56618908
2022/1/5 02:59,2022,1,2022/1/5 00:00,3,5,2,59,54.33,2,0,16.9,93,0.6,71.69,75.73,85.55,18.56618908
2022/1/5 03:15,2022,1,2022/1/5 00:00,3,5,3,15,66.85,2,0,16.3,94,0.2,54.33,71.69,75.73,18.08764047
2022/1/5 03:30,2022,1,2022/1/5 00:00,3,5,3,30,61.78,2,0,16.3,94,0.2,66.85,54.33,71.69,18.08764047
2022/1/5 03:45,2022,1,2022/1/5 00:00,3,5,3,45,57.35,2,0,16.3,94,0.2,61.78,66.85,54.33,18.08764047
2022/1/5 03:59,2022,1,2022/1/5 00:00,3,5,3,59,52.74,2,0,16.3,94,0.2,57.35,61.78,66.85,18.08764047
2022/1/5 04:15,2022,1,2022/1/5 00:00,3,5,4,15,65.52,2,0,17.3,90,0.6,52.74,57.35,61.78,18.96749808
2022/1/5 04:30,2022,1,2022/1/5 00:00,3,5,4,30,53.11,2,0,17.3,90,0.6,65.52,52.74,57.35,18.96749808
2022/1/5 04:45,2022,1,2022/1/5 00:00,3,5,4,45,52.76,2,0,17.3,90,0.6,53.11,65.52,52.74,18.96749808
2022/1/5 04:59,2022,1,2022/1/5 00:00,3,5,4,59,44.45,2,0,17.3,90,0.6,52.76,53.11,65.52,18.96749808
2022/1/5 05:15,2022,1,2022/1/5 00:00,3,5,5,15,44.12,2,0,16.9,91,0.5,44.45,52.76,53.11,18.5543463
2022/1/5 05:30,2022,1,2022/1/5 00:00,3,5,5,30,43.94,2,0,16.9,91,0.5,44.12,44.45,52.76,18.5543463
2022/1/5 05:45,2022,1,2022/1/5 00:00,3,5,5,45,52.02,2,0,16.9,91,0.5,43.94,44.12,44.45,18.5543463
2022/1/5 05:59,2022,1,2022/1/5 00:00,3,5,5,59,43.62,2,0,16.9,91,0.5,52.02,43.94,44.12,18.5543463
2022/1/5 06:15,2022,1,2022/1/5 00:00,3,5,6,15,44.09,2,0,16.4,91,0.2,43.62,52.02,43.94,18.10515911
2022/1/5 06:30,2022,1,2022/1/5 00:00,3,5,6,30,52.11,2,0,16.4,91,0.2,44.09,43.62,52.02,18.10515911
2022/1/5 06:45,2022,1,2022/1/5 00:00,3,5,6,45,44.18,2,0,16.4,91,0.2,52.11,44.09,43.62,18.10515911
2022/1/5 06:59,2022,1,2022/1/5 00:00,3,5,6,59,44.3,2,0,16.4,91,0.2,44.18,52.11,44.09,18.10515911
2022/1/5 07:15,2022,1,2022/1/5 00:00,3,5,7,15,53.51,2,0,16.1,92,0.4,44.3,44.18,52.11,17.62660847
