TIME_TO_INTERVAL,Year,Month,Date,Weekday,Day,Hour,minute,power,dayofweek,isholiday,Temperature,RH,WS,pre_power_15,pre_power_30,pre_power_45,feel_temp
2022/1/5 00:15,2022,1,2022/1/5 00:00,3,5,0,15,29.855,2,0,19.3,74,0.8,25.305,28.71,29.94,20.73619365
2022/1/5 00:30,2022,1,2022/1/5 00:00,3,5,0,30,29.945,2,0,19.3,74,0.8,29.855,25.305,28.71,20.73619365
2022/1/5 00:45,2022,1,2022/1/5 00:00,3,5,0,45,28.805,2,0,19.3,74,0.8,29.945,29.855,25.305,20.73619365
2022/1/5 00:59,2022,1,2022/1/5 00:00,3,5,0,59,29.14,2,0,19.3,74,0.8,28.805,29.945,29.855,20.73619365
2022/1/5 01:15,2022,1,2022/1/5 00:00,3,5,1,15,30.805,2,0,16.8,93,0.4,29.14,28.805,29.945,18.56662299
2022/1/5 01:30,2022,1,2022/1/5 00:00,3,5,1,30,27.17,2,0,16.8,93,0.4,30.805,29.14,28.805,18.56662299
2022/1/5 01:45,2022,1,2022/1/5 00:00,3,5,1,45,27.905,2,0,16.8,93,0.4,27.17,30.805,29.14,18.56662299
2022/1/5 01:59,2022,1,2022/1/5 00:00,3,5,1,59,23.87,2,0,16.8,93,0.4,27.905,27.17,30.805,18.56662299
2022/1/5 02:15,2022,1,2022/1/5 00:00,3,5,2,15,28.605,2,0,16.9,93,0.6,23.87,27.905,27.17,18.56618908
2022/1/5 02:30,2022,1,2022/1/5 00:00,3,5,2,30,25.685,2,0,16.9,93,0.6,28.605,23.87,27.905,18.56618908
2022/1/5 02:45,2022,1,2022/1/5 00:00,3,5,2,45,24.855,2,0,16.9,93,0.6,25.685,28.605,23.87,18.56618908
2022/1/5 02:59,2022,1,2022/1/5 00:00,3,5,2,59,22.625,2,0,16.9,93,0.6,24.855,25.685,28.605,18.56618908
2022/1/5 03:15,2022,1,2022/1/5 00:00,3,5,3,15,28.4,2,0,16.3,94,0.2,22.625,24.855,25.685,18.08764047
2022/1/5 03:30,2022,1,2022/1/5 00:00,3,5,3,30,24.615,2,0,16.3,94,0.2,28.4,22.625,24.855,18.08764047
2022/1/5 03:45,2022,1,2022/1/5 00:00,3,5,3,45,24.63,2,0,16.3,94,0.2,24.615,28.4,22.625,18.08764047
2022/1/5 03:59,2022,1,2022/1/5 00:00,3,5,3,59,22.215,2,0,16.3,94,0.2,24.63,24.615,28.4,18.08764047
2022/1/5 04:15,2022,1,2022/1/5 00:00,3,5,4,15,24.73,2,0,17.3,90,0.6,22.215,24.63,24.615,18.96749808
2022/1/5 04:30,2022,1,2022/1/5 00:00,3,5,4,30,24.61,2,0,17.3,90,0.6,24.73,22.215,24.63,18.96749808
2022/1/5 04:45,2022,1,2022/1/5 00:00,3,5,4,45,26.885,2,0,17.3,90,0.6,24.61,24.73,22.215,18.96749808
2022/1/5 04:59,2022,1,2022/1/5 00:00,3,5,4,59,23.71,2,0,17.3,90,0.6,26.885,24.61,24.73,18.96749808
2022/1/5 05:15,2022,1,2022/1/5 00:00,3,5,5,15,24.615,2,0,16.9,91,0.5,23.71,26.885,24.61,18.5543463
2022/1/5 05:30,2022,1,2022/1/5 00:00,3,5,5,30,24.55,2,0,16.9,91,0.5,24.615,23.71,26.885,18.5543463
2022/1/5 05:45,2022,1,2022/1/5 00:00,3,5,5,45,25.885,2,0,16.9,91,0.5,24.55,24.615,23.71,18.5543463
2022/1/5 05:59,2022,1,2022/1/5 00:00,3,5,5,59,24.52,2,0,16.9,91,0.5,25.885,24.55,24.615,18.5543463
2022/1/5 06:15,2022,1,2022/1/5 00:00,3,5,6,15,26.525,2,0,16.4,91,0.2,24.52,25.885,24.55,18.10515911
2022/1/5 06:30,2022,1,2022/1/5 00:00,3,5,6,30,24.725,2,0,16.4,91,0.2,26.525,24.52,25.885,18.10515911
2022/1/5 06:45,2022,1,2022/1/5 00:00,3,5,6,45,25.885,2,0,16.4,91,0.2,24.725,26.525,24.52,18.10515911
2022/1/5 06:59,2022,1,2022/1/5 00:00,3,5,6,59,22.55,2,0,16.4,91,0.2,25.885,24.725,26.525,18.10515911
2022/1/5 07:15,2022,1,2022/1/5 00:00,3,5,7,15,27.395,2,0,16.1,92,0.4,22.55,25.885,24.725,17.62660847
2022/1/5 07:30,2022,1,2022/1/5 00:00,3,5,7,30,25.765,2,0,16.1,92,0.4,27.395,22.55,25.885,17.62660847
2022/1/5 07:45,2022,1,2022/1/5 00:00,3,5,7,45,30.65,2,0,16.1,92,0.4,25.765,27.395,22.55,17.62660847
2022/1/5 07:59,2022,1,2022/1/5 00:00,3,5,7,59,27.27,2,0,16.1,92,0.4,30.65,25.765,27.395,17.62660847
2022/1/5 08:15,2022,1,2022/1/5 00:00,3,5,8,15,33.355,2,0,17.4,86,0.2,27.27,30.65,25.765,19.19832941
2022/1/5 08:30,2022,1,2022/1/5 00:00,3,5,8,30,39.195,2,0,17.4,86,0.2,33.355,27.27,30.65,19.19832941
2022/1/5 08:45,2022,1,2022/1/5 00:00,3,5,8,45,42.46,2,0,17.4,86,0.2,39.195,33.355,27.27,19.19832941
2022/1/5 08:59,2022,1,2022/1/5 00:00,3,5,8,59,44.425,2,0,17.4,86,0.2,42.46,39.195,33.355,19.19832941
2022/1/5 19:40,2022,1,2022/1/5 00:00,3,5,19,40,36.855,2,0,20,76,2.2,62.735,59.22,57.44,20.81504746
2022/1/5 20:15,2022,1,2022/1/5 00:00,3,5,20,15,40.19,2,0,20.6,69,2,-18574.295,36.855,62.735,21.38185522
2022/1/5 20:30,2022,1,2022/1/5 00:00,3,5,20,30,40.475,2,0,20.6,69,2,40.19,-18574.295,36.855,21.38185522
2022/1/5 20:45,2022,1,2022/1/5 00:00,3,5,20,45,41.28,2,0,20.6,69,2,40.475,40.19,-18574.295,21.38185522
2022/1/5 20:59,2022,1,2022/1/5 00:00,3,5,20,59,37.955,2,0,20.6,69,2,41.28,40.475,40.19,21.38185522
2022/1/5 21:15,2022,1,2022/1/5 00:00,3,5,21,15,37.235,2,0,20.8,65,1.5,37.955,41.28,40.475,21.76616566
2022/1/5 21:30,2022,1,2022/1/5 00:00,3,5,21,30,27.895,2,0,20.8,65,1.5,37.235,37.955,41.28,21.76616566
2022/1/5 21:45,2022,1,2022/1/5 00:00,3,5,21,45,24.545,2,0,20.8,65,1.5,27.895,37.235,37.955,21.76616566
2022/1/5 21:59,2022,1,2022/1/5 00:00,3,5,21,59,23.765,2,0,20.8,65,1.5,24.545,27.895,37.235,21.76616566
2022/1/5 22:15,2022,1,2022/1/5 00:00,3,5,22,15,22.065,2,0,21,63,1.5,23.765,24.545,27.895,21.92029545
2022/1/5 22:30,2022,1,2022/1/5 00:00,3,5,22,30,19.95,2,0,21,63,1.5,22.065,23.765,24.545,21.92029545
2022/1/5 22:45,2022,1,2022/1/5 00:00,3,5,22,45,20.52,2,0,21,63,1.5,19.95,22.065,23.765,21.92029545
2022/1/5 22:59,2022,1,2022/1/5 00:00,3,5,22,59,19.225,2,0,21,63,1.5,20.52,19.95,22.065,21.92029545
2022/1/5 23:15,2022,1,2022/1/5 00:00,3,5,23,15,17.125,2,0,20.6,63,2,19.225,20.52,19.95,21.09143303
2022/1/5 23:30,2022,1,2022/1/5 00:00,3,5,23,30,19.85,2,0,20.6,63,2,17.125,19.225,20.52,21.09143303
2022/1/5 23:45,2022,1,2022/1/5 00:00,3,5,23,45,19,2,0,20.6,63,2,19.85,17.125,19.225,21.09143303
2022/1/5 23:59,2022,1,2022/1/5 00:00,3,5,23,59,16.4,2,0,20.6,63,2,19,19.85,17.125,21.09143303
2022/1/6 00:15,2022,1,2022/1/6 00:00,4,6,0,15,19.725,3,0,15,93,0.9,16.4,19,19.85,15.93023757
2022/1/6 00:30,2022,1,2022/1/6 00:00,4,6,0,30,20.09,3,0,15,93,0.9,19.725,16.4,19,15.93023757
2022/1/6 00:45,2022,1,2022/1/6 00:00,4,6,0,45,20.9,3,0,15,93,0.9,20.09,19.725,16.4,15.93023757
2022/1/6 00:59,2022,1,2022/1/6 00:00,4,6,0,59,19.08,3,0,15,93,0.9,20.9,20.09,19.725,15.93023757
2022/1/6 01:15,2022,1,2022/1/6 00:00,4,6,1,15,16.23,3,0,18.1,81,0.4,19.08,20.9,20.09,19.7636613
2022/1/6 01:30,2022,1,2022/1/6 00:00,4,6,1,30,19,3,0,18.1,81,0.4,16.23,19.08,20.9,19.7636613
2022/1/6 01:45,2022,1,2022/1/6 00:00,4,6,1,45,17.07,3,0,18.1,81,0.4,19,16.23,19.08,19.7636613
2022/1/6 01:59,2022,1,2022/1/6 00:00,4,6,1,59,16.39,3,0,18.1,81,0.4,17.07,19,16.23,19.7636613
2022/1/6 02:15,2022,1,2022/1/6 00:00,4,6,2,15,16.93,3,0,18.7,76,0.9,16.39,17.07,19,19.99398315
2022/1/6 02:30,2022,1,2022/1/6 00:00,4,6,2,30,15.725,3,0,18.7,76,0.9,16.93,16.39,17.07,19.99398315
2022/1/6 02:45,2022,1,2022/1/6 00:00,4,6,2,45,17.325,3,0,18.7,76,0.9,15.725,16.93,16.39,19.99398315
2022/1/6 02:59,2022,1,2022/1/6 00:00,4,6,2,59,12.04,3,0,18.7,76,0.9,17.325,15.725,16.93,19.99398315
2022/1/6 03:15,2022,1,2022/1/6 00:00,4,6,3,15,15.995,3,0,18.6,78,1.9,12.04,17.325,15.725,19.30213633
2022/1/6 03:30,2022,1,2022/1/6 00:00,4,6,3,30,15.74,3,0,18.6,78,1.9,15.995,12.04,17.325,19.30213633
2022/1/6 03:45,2022,1,2022/1/6 00:00,4,6,3,45,14.865,3,0,18.6,78,1.9,15.74,15.995,12.04,19.30213633
