TIME_TO_INTERVAL,Year,Month,Date,Weekday,Day,Hour,minute,power,dayofweek,isholiday,Temperature,RH,WS,pre_power_15,pre_power_30,pre_power_45,feel_temp
2022/1/5 00:15,2022,1,2022/1/5 00:00,3,5,0,15,152.52,2,0,19.3,74,0.8,139.28,154.44,149.4,20.73619365
2022/1/5 00:30,2022,1,2022/1/5 00:00,3,5,0,30,152.46,2,0,19.3,74,0.8,152.52,139.28,154.44,20.73619365
2022/1/5 00:45,2022,1,2022/1/5 00:00,3,5,0,45,152.46,2,0,19.3,74,0.8,152.46,152.52,139.28,20.73619365
2022/1/5 00:59,2022,1,2022/1/5 00:00,3,5,0,59,144.22,2,0,19.3,74,0.8,152.46,152.46,152.52,20.73619365
2022/1/5 01:15,2022,1,2022/1/5 00:00,3,5,1,15,141.62,2,0,16.8,93,0.4,144.22,152.46,152.46,18.56662299
2022/1/5 01:30,2022,1,2022/1/5 00:00,3,5,1,30,135.44,2,0,16.8,93,0.4,141.62,144.22,152.46,18.56662299
2022/1/5 01:45,2022,1,2022/1/5 00:00,3,5,1,45,130.42,2,0,16.8,93,0.4,135.44,141.62,144.22,18.56662299
2022/1/5 01:59,2022,1,2022/1/5 00:00,3,5,1,59,123.24,2,0,16.8,93,0.4,130.42,135.44,141.62,18.56662299
2022/1/5 02:15,2022,1,2022/1/5 00:00,3,5,2,15,135.62,2,0,16.9,93,0.6,123.24,130.42,135.44,18.56618908
2022/1/5 02:30,2022,1,2022/1/5 00:00,3,5,2,30,129.44,2,0,16.9,93,0.6,135.62,123.24,130.42,18.56618908
2022/1/5 02:45,2022,1,2022/1/5 00:00,3,5,2,45,122.48,2,0,16.9,93,0.6,129.44,135.62,123.24,18.56618908
2022/1/5 02:59,2022,1,2022/1/5 00:00,3,5,2,59,110.24,2,0,16.9,93,0.6,122.48,129.44,135.62,18.56618908
2022/1/5 03:15,2022,1,2022/1/5 00:00,3,5,3,15,122.62,2,0,16.3,94,0.2,110.24,122.48,129.44,18.08764047
2022/1/5 03:30,2022,1,2022/1/5 00:00,3,5,3,30,115.36,2,0,16.3,94,0.2,122.62,110.24,122.48,18.08764047
2022/1/5 03:45,2022,1,2022/1/5 00:00,3,5,3,45,116.48,2,0,16.3,94,0.2,115.36,122.62,110.24,18.08764047
2022/1/5 03:59,2022,1,2022/1/5 00:00,3,5,3,59,115.24,2,0,16.3,94,0.2,116.48,115.36,122.62,18.08764047
2022/1/5 04:15,2022,1,2022/1/5 00:00,3,5,4,15,124.54,2,0,17.3,90,0.6,115.24,116.48,115.36,18.96749808
2022/1/5 04:30,2022,1,2022/1/5 00:00,3,5,4,30,123.5,2,0,17.3,90,0.6,124.54,115.24,116.48,18.96749808
2022/1/5 04:45,2022,1,2022/1/5 00:00,3,5,4,45,124.4,2,0,17.3,90,0.6,123.5,124.54,115.24,18.96749808
2022/1/5 04:59,2022,1,2022/1/5 00:00,3,5,4,59,116.18,2,0,17.3,90,0.6,124.4,123.5,124.54,18.96749808
2022/1/5 05:15,2022,1,2022/1/5 00:00,3,5,5,15,115.88,2,0,16.9,91,0.5,116.18,124.4,123.5,18.5543463
2022/1/5 05:30,2022,1,2022/1/5 00:00,3,5,5,30,114.34,2,0,16.9,91,0.5,115.88,116.18,124.4,18.5543463
2022/1/5 05:45,2022,1,2022/1/5 00:00,3,5,5,45,107.38,2,0,16.9,91,0.5,114.34,115.88,116.18,18.5543463
2022/1/5 05:59,2022,1,2022/1/5 00:00,3,5,5,59,107.32,2,0,16.9,91,0.5,107.38,114.34,115.88,18.5543463
2022/1/5 06:15,2022,1,2022/1/5 00:00,3,5,6,15,115.4,2,0,16.4,91,0.2,107.32,107.38,114.34,18.10515911
2022/1/5 06:30,2022,1,2022/1/5 00:00,3,5,6,30,113.44,2,0,16.4,91,0.2,115.4,107.32,107.38,18.10515911
2022/1/5 06:45,2022,1,2022/1/5 00:00,3,5,6,45,107.34,2,0,16.4,91,0.2,113.44,115.4,107.32,18.10515911
2022/1/5 06:59,2022,1,2022/1/5 00:00,3,5,6,59,106.36,2,0,16.4,91,0.2,107.34,113.44,115.4,18.10515911
2022/1/5 07:15,2022,1,2022/1/5 00:00,3,5,7,15,108.4,2,0,16.1,92,0.4,106.36,107.34,113.44,17.62660847
2022/1/5 07:30,2022,1,2022/1/5 00:00,3,5,7,30,83.32,2,0,16.1,92,0.4,108.4,106.36,107.34,17.62660847
2022/1/5 07:45,2022,1,2022/1/5 00:00,3,5,7,45,89.38,2,0,16.1,92,0.4,83.32,108.4,106.36,17.62660847
2022/1/5 07:59,2022,1,2022/1/5 00:00,3,5,7,59,70.32,2,0,16.1,92,0.4,89.38,83.32,108.4,17.62660847
2022/1/5 08:15,2022,1,2022/1/5 00:00,3,5,8,15,83.44,2,0,17.4,86,0.2,70.32,89.38,83.32,19.19832941
2022/1/5 08:30,2022,1,2022/1/5 00:00,3,5,8,30,83.58,2,0,17.4,86,0.2,83.44,70.32,89.38,19.19832941
2022/1/5 08:45,2022,1,2022/1/5 00:00,3,5,8,45,95.48,2,0,17.4,86,0.2,83.58,83.44,70.32,19.19832941
2022/1/5 08:59,2022,1,2022/1/5 00:00,3,5,8,59,88.36,2,0,17.4,86,0.2,95.48,83.58,83.44,19.19832941
2022/1/5 09:15,2022,1,2022/1/5 00:00,3,5,9,15,113.52,2,0,18.5,81,0.4,88.36,95.48,83.58,20.27682635
2022/1/5 09:30,2022,1,2022/1/5 00:00,3,5,9,30,107.34,2,0,18.5,81,0.4,113.52,88.36,95.48,20.27682635
2022/1/5 09:45,2022,1,2022/1/5 00:00,3,5,9,45,113.38,2,0,18.5,81,0.4,107.34,113.52,88.36,20.27682635
2022/1/5 09:59,2022,1,2022/1/5 00:00,3,5,9,59,106.36,2,0,18.5,81,0.4,113.38,107.34,113.52,20.27682635
2022/1/5 10:15,2022,1,2022/1/5 00:00,3,5,10,15,94.36,2,0,20.1,73,0.9,106.36,113.38,107.34,21.64821699
2022/1/5 10:30,2022,1,2022/1/5 00:00,3,5,10,30,89.44,2,0,20.1,73,0.9,94.36,106.36,113.38,21.64821699
2022/1/5 10:45,2022,1,2022/1/5 00:00,3,5,10,45,89.3,2,0,20.1,73,0.9,89.44,94.36,106.36,21.64821699
2022/1/5 10:59,2022,1,2022/1/5 00:00,3,5,10,59,83.42,2,0,20.1,73,0.9,89.3,89.44,94.36,21.64821699
2022/1/5 11:15,2022,1,2022/1/5 00:00,3,5,11,15,90.38,2,0,21.2,70,1.2,83.42,89.3,89.44,22.71937932
2022/1/5 11:30,2022,1,2022/1/5 00:00,3,5,11,30,83.34,2,0,21.2,70,1.2,90.38,83.42,89.3,22.71937932
