TIME_TO_INTERVAL,Year,Month,Date,Weekday,Day,Hour,power,dayofweek,isholiday,Temperature,RH,WS,feel_temp,pre_day_1,pre_day_7,pre_day_1_7_2,pre_day_1_7_3,pre_day_1_7_H,pre_similarity,next_similarity
2022-01-12 00:00:00,2022,1,2022-01-12 00:00:00,3,12,0,691.7900000000003,2,0,13.6,82,0.3,14.206372348790062,728.4499999999992,797.4,728.4499999999992,728.4499999999992,728.4499999999992,790.4100000000003,716.8500000000003
2022-01-12 01:00:00,2022,1,2022-01-12 00:00:00,3,12,1,667.8299999999996,2,0,13.4,69,1,13.105473006063047,716.8500000000003,763.5200000000003,716.8500000000003,716.8500000000003,716.8500000000003,728.4499999999992,702.6999999999997
2022-01-12 02:00:00,2022,1,2022-01-12 00:00:00,3,12,2,643.0800000000003,2,0,13.5,69,0.6,13.486298703216622,702.6999999999997,724.7999999999997,702.6999999999997,702.6999999999997,702.6999999999997,716.8500000000003,705.5600000000003
2022-01-12 03:00:00,2022,1,2022-01-12 00:00:00,3,12,3,642.3400000000001,2,0,13.4,68,1.2,12.944784991482425,705.5600000000003,692.5399999999997,705.5600000000003,705.5600000000003,705.5600000000003,702.6999999999997,654.3699999999999
2022-01-12 04:00:00,2022,1,2022-01-12 00:00:00,3,12,4,607.3399999999998,2,0,13.4,69,1,13.105473006063047,654.3699999999999,652.8000000000002,654.3699999999999,654.3699999999999,654.3699999999999,705.5600000000003,656.5400000000004
2022-01-12 05:00:00,2022,1,2022-01-12 00:00:00,3,12,5,605.4999999999999,2,0,13.5,70,0.5,13.582187090219762,656.5400000000004,618.76,656.5400000000004,656.5400000000004,656.5400000000004,654.3699999999999,654.9000000000002
2022-01-12 06:00:00,2022,1,2022-01-12 00:00:00,3,12,6,595.2000000000007,2,0,13.3,70,0.4,13.405214870403775,654.9000000000002,652.8599999999999,654.9000000000002,654.9000000000002,654.9000000000002,656.5400000000004,693.6499999999992
2022-01-12 07:00:00,2022,1,2022-01-12 00:00:00,3,12,7,606.1199999999994,2,0,13,71,0.6,12.942749951727237,693.6499999999992,703.1200000000003,693.6499999999992,693.6499999999992,693.6499999999992,654.9000000000002,752.3700000000001
2022-01-12 08:00:00,2022,1,2022-01-12 00:00:00,3,12,8,743.55,2,0,13,73,1,12.742545725015326,752.3700000000001,760.6800000000003,752.3700000000001,752.3700000000001,752.3700000000001,693.6499999999992,935.7900000000003
2022-01-12 09:00:00,2022,1,2022-01-12 00:00:00,3,12,9,885.9400000000003,2,0,13.5,71,0.6,13.548075477222898,935.7900000000003,991.86,935.7900000000003,935.7900000000003,935.7900000000003,752.3700000000001,1052.7600000000002
2022-01-12 10:00:00,2022,1,2022-01-12 00:00:00,3,12,10,1031.3099999999997,2,0,14.3,69,0.7,14.390786647128966,1052.7600000000002,1145.9,1052.7600000000002,1052.7600000000002,1052.7600000000002,935.7900000000003,1115.29
2022-01-12 11:00:00,2022,1,2022-01-12 00:00:00,3,12,11,1066.35,2,0,14.6,67,1.1,14.429352656514101,1115.29,1195.48,1115.29,1115.29,1115.29,1052.7600000000002,1137.85
2022-01-12 12:00:00,2022,1,2022-01-12 00:00:00,3,12,12,1165.5100000000011,2,0,15.3,66,1.3,15.115986804940267,1137.85,1169.06,1137.85,1137.85,1137.85,1115.29,1173.4500000000005
2022-01-12 13:00:00,2022,1,2022-01-12 00:00:00,3,12,13,1294.2199999999993,2,0,15.6,65,1.8,15.12104920551175,1173.4500000000005,1315.8599999999994,1173.4500000000005,1173.4500000000005,1173.4500000000005,1137.85,1185.8899999999996
