TIME_TO_INTERVAL,Year,Month,Date,Weekday,Day,Hour,power,dayofweek,isholiday,Temperature,RH,WS,feel_temp,pre_day_1,pre_day_7,pre_day_1_7_2,pre_day_1_7_3,pre_day_1_7_H,pre_similarity,next_similarity
2022-01-12 00:00:00,2022,1,2022-01-12 00:00:00,3,12,0,551.5599999999998,2,0,13.6,82,0.3,14.206372348790062,586.5199999999999,601.74,586.5199999999999,586.5199999999999,586.5199999999999,628.46,487.5600000000002
2022-01-12 01:00:00,2022,1,2022-01-12 00:00:00,3,12,1,504.8,2,0,13.4,69,1,13.105473006063047,487.5600000000002,530.76,487.5600000000002,487.5600000000002,487.5600000000002,586.5199999999999,469.44
2022-01-12 02:00:00,2022,1,2022-01-12 00:00:00,3,12,2,500.78000000000014,2,0,13.5,69,0.6,13.486298703216622,469.44,503.84,469.44,469.44,469.44,487.5600000000002,439.49999999999983
2022-01-12 03:00:00,2022,1,2022-01-12 00:00:00,3,12,3,487.63999999999976,2,0,13.4,68,1.2,12.944784991482425,439.49999999999983,476.76000000000016,439.49999999999983,439.49999999999983,439.49999999999983,469.44,442.46000000000015
2022-01-12 04:00:00,2022,1,2022-01-12 00:00:00,3,12,4,496.5600000000003,2,0,13.4,69,1,13.105473006063047,442.46000000000015,488.63999999999976,442.46000000000015,442.46000000000015,442.46000000000015,439.49999999999983,434.15999999999985
2022-01-12 05:00:00,2022,1,2022-01-12 00:00:00,3,12,5,463.0199999999997,2,0,13.5,70,0.5,13.582187090219762,434.15999999999985,444.94000000000017,434.15999999999985,434.15999999999985,434.15999999999985,442.46000000000015,421.3399999999999
2022-01-12 06:00:00,2022,1,2022-01-12 00:00:00,3,12,6,480.40000000000015,2,0,13.3,70,0.4,13.405214870403775,421.3399999999999,442.5399999999999,421.3399999999999,421.3399999999999,421.3399999999999,434.15999999999985,344.3600000000001
2022-01-12 07:00:00,2022,1,2022-01-12 00:00:00,3,12,7,337.4399999999999,2,0,13,71,0.6,12.942749951727237,344.3600000000001,357.42000000000013,344.3600000000001,344.3600000000001,344.3600000000001,421.3399999999999,358.8799999999998
2022-01-12 08:00:00,2022,1,2022-01-12 00:00:00,3,12,8,365.06,2,0,13,73,1,12.742545725015326,358.8799999999998,350.85999999999984,358.8799999999998,358.8799999999998,358.8799999999998,344.3600000000001,411.5799999999999
2022-01-12 09:00:00,2022,1,2022-01-12 00:00:00,3,12,9,430.26,2,0,13.5,71,0.6,13.548075477222898,411.5799999999999,441.5999999999999,411.5799999999999,411.5799999999999,411.5799999999999,358.8799999999998,317.55999999999995
2022-01-12 10:00:00,2022,1,2022-01-12 00:00:00,3,12,10,358.08,2,0,14.3,69,0.7,14.390786647128966,317.55999999999995,356.52000000000015,317.55999999999995,317.55999999999995,317.55999999999995,411.5799999999999,352.54000000000013
2022-01-12 11:00:00,2022,1,2022-01-12 00:00:00,3,12,11,383.8600000000001,2,0,14.6,67,1.1,14.429352656514101,352.54000000000013,352.5,352.54000000000013,352.54000000000013,352.54000000000013,317.55999999999995,335.72
2022-01-12 12:00:00,2022,1,2022-01-12 00:00:00,3,12,12,395.73999999999984,2,0,15.3,66,1.3,15.115986804940267,335.72,389.56,335.72,335.72,335.72,352.54000000000013,359.3799999999998
2022-01-12 13:00:00,2022,1,2022-01-12 00:00:00,3,12,13,394.38000000000017,2,0,15.6,65,1.8,15.12104920551175,359.3799999999998,415.42000000000013,359.3799999999998,359.3799999999998,359.3799999999998,335.72,364.56
2022-01-12 14:00:00,2022,1,2022-01-12 00:00:00,3,12,14,400.4399999999998,2,0,17.1,61,0.7,17.51555489485338,364.56,416.4399999999998,364.56,364.56,364.56,359.3799999999998,389.76
2022-01-12 15:00:00,2022,1,2022-01-12 00:00:00,3,12,15,394.40000000000015,2,0,17.1,59,1.1,17.177733422890974,389.76,411.85999999999984,389.76,389.76,389.76,364.56,395.4200000000001
2022-01-12 16:00:00,2022,1,2022-01-12 00:00:00,3,12,16,382.49999999999983,2,0,17.5,58,0.4,18.079538373749116,395.4200000000001,421.52,395.4200000000001,395.4200000000001,395.4200000000001,389.76,491.0999999999999
2022-01-12 17:00:00,2022,1,2022-01-12 00:00:00,3,12,17,384.22000000000025,2,0,17.5,60,1.1,17.704350041809434,491.0999999999999,475.08000000000015,491.0999999999999,491.0999999999999,491.0999999999999,395.4200000000001,528.72
2022-01-12 18:00:00,2022,1,2022-01-12 00:00:00,3,12,18,501.05999999999983,2,0,16.1,68,1.8,15.84018887110167,528.72,544.9799999999998,528.72,528.72,528.72,491.0999999999999,534.6999999999998
2022-01-12 19:00:00,2022,1,2022-01-12 00:00:00,3,12,19,500.4200000000001,2,0,15.2,71,0.9,15.426716062942585,534.6999999999998,570.8399999999998,534.6999999999998,534.6999999999998,534.6999999999998,528.72,580.5599999999997
2022-01-12 20:00:00,2022,1,2022-01-12 00:00:00,3,12,20,484.7199999999999,2,0,15,72,0.7,15.345506503121648,580.5599999999997,576.02,580.5599999999997,580.5599999999997,580.5599999999997,534.6999999999998,557.6000000000001
2022-01-12 21:00:00,2022,1,2022-01-12 00:00:00,3,12,21,501.7,2,0,13.8,79,0.3,14.3592164081598,557.6000000000001,550.02,557.6000000000001,557.6000000000001,557.6000000000001,580.5599999999997,558.5199999999999
2022-01-12 22:00:00,2022,1,2022-01-12 00:00:00,3,12,22,574.54,2,0,13,84,0.2,13.59142247809983,558.5199999999999,537.96,558.5199999999999,558.5199999999999,558.5199999999999,557.6000000000001,572.48
2022-01-12 23:00:00,2022,1,2022-01-12 00:00:00,3,12,23,622.5800000000003,2,0,13.5,82,0.3,14.082847734257435,572.48,550.86,572.48,572.48,572.48,558.5199999999999,551.5599999999998
2022-01-13 00:00:00,2022,1,2022-01-13 00:00:00,4,13,0,583.5599999999997,3,0,12.4,69,0.9,11.96648622060475,551.5599999999998,573.1799999999997,551.5599999999998,551.5599999999998,551.5599999999998,572.48,504.8
2022-01-13 01:00:00,2022,1,2022-01-13 00:00:00,4,13,1,511.6400000000003,3,0,13.9,80,0.7,14.25411242491839,504.8,529.1000000000001,504.8,504.8,504.8,551.5599999999998,500.78000000000014
2022-01-13 02:00:00,2022,1,2022-01-13 00:00:00,4,13,2,476.6199999999997,3,0,13.7,84,0.4,14.327576655559238,500.78000000000014,498.98,500.78000000000014,500.78000000000014,500.78000000000014,504.8,487.63999999999976
2022-01-13 03:00:00,2022,1,2022-01-13 00:00:00,4,13,3,472.72,3,0,14,81,0.7,14.40951318033271,487.63999999999976,519.8199999999998,487.63999999999976,487.63999999999976,487.63999999999976,500.78000000000014,496.5600000000003
2022-01-13 04:00:00,2022,1,2022-01-13 00:00:00,4,13,4,462.68000000000006,3,0,14.8,70,1.8,14.317977908454697,496.5600000000003,499.7799999999999,496.5600000000003,496.5600000000003,496.5600000000003,487.63999999999976,463.0199999999997
2022-01-13 05:00:00,2022,1,2022-01-13 00:00:00,4,13,5,441.05999999999983,3,0,14.7,71,0.4,15.139260851381902,463.0199999999997,458.02,463.0199999999997,463.0199999999997,463.0199999999997,496.5600000000003,480.40000000000015
2022-01-13 06:00:00,2022,1,2022-01-13 00:00:00,4,13,6,447.5600000000002,3,0,14.7,71,0.7,14.944260851381905,480.40000000000015,452.4200000000001,480.40000000000015,480.40000000000015,480.40000000000015,463.0199999999997,337.4399999999999
2022-01-13 07:00:00,2022,1,2022-01-13 00:00:00,4,13,7,343.49999999999983,3,0,14.9,71,1.2,14.863981066915198,337.4399999999999,342.3799999999999,337.4399999999999,337.4399999999999,337.4399999999999,480.40000000000015,365.06
2022-01-13 08:00:00,2022,1,2022-01-13 00:00:00,4,13,8,351.60000000000014,3,0,15.4,68,1.2,15.372554328786034,365.06,356.76000000000016,365.06,365.06,365.06,337.4399999999999,430.26
2022-01-13 09:00:00,2022,1,2022-01-13 00:00:00,4,13,9,399.45999999999987,3,0,16.5,69,1.4,16.62965988100576,430.26,435.66000000000014,430.26,430.26,430.26,365.06,358.08
2022-01-13 10:00:00,2022,1,2022-01-13 00:00:00,4,13,10,340.49999999999983,3,0,18,61,3,17.122040627903587,358.08,322.7599999999997,358.08,358.08,358.08,430.26,383.8600000000001
2022-01-13 11:00:00,2022,1,2022-01-13 00:00:00,4,13,11,383.60000000000025,3,0,18.6,57,3.6,17.2992150098175,383.8600000000001,358.78000000000014,383.8600000000001,383.8600000000001,383.8600000000001,358.08,395.73999999999984
2022-01-13 12:00:00,2022,1,2022-01-13 00:00:00,4,13,12,383.5399999999997,3,0,20,54,2.7,19.46384951387079,395.73999999999984,375.50000000000006,395.73999999999984,395.73999999999984,395.73999999999984,383.8600000000001,394.38000000000017
2022-01-13 13:00:00,2022,1,2022-01-13 00:00:00,4,13,13,382.50000000000017,3,0,20.1,55,3.1,19.373396364541648,394.38000000000017,405.65999999999985,394.38000000000017,394.38000000000017,394.38000000000017,395.73999999999984,400.4399999999998
2022-01-13 14:00:00,2022,1,2022-01-13 00:00:00,4,13,14,405.86,3,0,18.9,57,4,17.4062834952146,400.4399999999998,411.38000000000017,400.4399999999998,400.4399999999998,400.4399999999998,394.38000000000017,394.40000000000015
2022-01-13 15:00:00,2022,1,2022-01-13 00:00:00,4,13,15,394.49999999999983,3,0,17.6,59,4.2,15.771325729409746,394.40000000000015,434.52,394.40000000000015,394.40000000000015,394.40000000000015,400.4399999999998,382.49999999999983
2022-01-13 16:00:00,2022,1,2022-01-13 00:00:00,4,13,16,382.58000000000015,3,0,16.2,61,4.6,13.885802288916913,382.49999999999983,408.8799999999998,382.49999999999983,382.49999999999983,382.49999999999983,394.40000000000015,384.22000000000025
2022-01-13 17:00:00,2022,1,2022-01-13 00:00:00,4,13,17,389.0399999999999,3,0,15,61,3.3,13.281123565144728,384.22000000000025,428.70000000000016,384.22000000000025,384.22000000000025,384.22000000000025,382.49999999999983,501.05999999999983
2022-01-13 18:00:00,2022,1,2022-01-13 00:00:00,4,13,18,511.08000000000015,3,0,14.1,64,3.7,12.03735426240737,501.05999999999983,513.48,501.05999999999983,501.05999999999983,501.05999999999983,384.22000000000025,500.4200000000001
2022-01-13 19:00:00,2022,1,2022-01-13 00:00:00,4,13,19,499.04,3,0,13.5,66,2.5,12.158633542207202,500.4200000000001,513.06,500.4200000000001,500.4200000000001,500.4200000000001,501.05999999999983,484.7199999999999
2022-01-13 20:00:00,2022,1,2022-01-13 00:00:00,4,13,20,537.1999999999998,3,0,13.1,67,2.4,11.77327960195889,484.7199999999999,527.0599999999998,484.7199999999999,484.7199999999999,484.7199999999999,500.4200000000001,501.7
